Symbol,Strategy,Date,Action,Price,Reason,Side,Net Profit,Cumulative Net Profit,N,L,Signal Date,Signal_Rolling_High,Signal_Rolling_Low,entry_close_t,exit_close_t,EntryPrice
0050,S1 Trend-Long,2019-01-20,BUY,76.55,收盤 > N日高,long,0.0,0.0,10,20,2019-01-17,75.9,72.0,75.95,,
0050,S1 Trend-Long,2019-05-13,SELL,79.4,收盤 < L日低,long,2.85,2.85,10,20,2019-05-12,83.8,80.9,75.95,80.15,76.55
0050,S1 Trend-Long,2019-06-10,BUY,79.4,收盤 > N日高,long,0.0,2.85,10,20,2019-06-09,78.95,76.3,79.05,,
0050,S1 Trend-Long,2019-08-04,SELL,80.5,收盤 < L日低,long,1.1,3.95,10,20,2019-08-01,83.9,81.4,79.05,80.95,79.4
0050,S1 Trend-Long,2019-08-20,BUY,81.15,收盤 > N日高,long,0.0,3.95,10,20,2019-08-19,80.9,78.5,81.0,,
0050,S1 Trend-Long,2020-01-30,SELL,90.45,收盤 < L日低,long,9.3,13.25,10,20,2020-01-29,98.85,95.05,81.0,92.15,81.15
0050,S1 Trend-Long,2020-04-08,BUY,80.05,收盤 > N日高,long,0.0,13.25,10,20,2020-04-07,78.9,67.25,79.6,,
0050,S1 Trend-Long,2020-09-24,SELL,100.55,收盤 < L日低,long,20.5,33.75,10,20,2020-09-23,107.0,101.15,79.6,100.45,80.05
0050,S1 Trend-Long,2020-10-11,BUY,106.9,收盤 > N日高,long,0.0,33.75,10,20,2020-10-07,105.0,100.05,106.2,,
0050,S1 Trend-Long,2021-05-11,SELL,132.7,收盤 < L日低,long,25.8,59.55,10,20,2021-05-10,142.0,135.0,106.2,133.25,106.9
0050,S1 Trend-Long,2021-05-30,BUY,136.0,收盤 > N日高,long,0.0,59.55,10,20,2021-05-27,135.15,121.2,135.8,,
0050,S1 Trend-Long,2021-07-28,SELL,135.65,收盤 < L日低,long,-0.35,59.199999999999996,10,20,2021-07-27,141.85,136.05,135.8,134.25,136.0
0050,S1 Trend-Long,2021-08-04,BUY,139.45,收盤 > N日高,long,0.0,59.199999999999996,10,20,2021-08-03,138.55,133.75,139.25,,
0050,S1 Trend-Long,2021-08-19,SELL,132.0,收盤 < L日低,long,-7.45,51.74999999999999,10,20,2021-08-18,139.45,132.45,139.25,131.8,139.45
0050,S1 Trend-Long,2021-08-29,BUY,138.85,收盤 > N日高,long,0.0,51.74999999999999,10,20,2021-08-26,138.0,130.2,138.15,,
0050,S1 Trend-Long,2021-09-29,SELL,136.1,收盤 < L日低,long,-2.75,48.99999999999999,10,20,2021-09-28,142.2,136.3,138.15,136.0,138.85
0050,S1 Trend-Long,2021-10-19,BUY,137.25,收盤 > N日高,long,0.0,48.99999999999999,10,20,2021-10-18,136.9,130.9,136.95,,
0050,S1 Trend-Long,2022-01-25,SELL,140.95,收盤 < L日低,long,3.7,52.699999999999996,10,20,2022-01-24,152.4,141.7,136.95,141.65,137.25
0050,S1 Trend-Long,2022-03-21,BUY,137.0,收盤 > N日高,long,0.0,52.699999999999996,10,20,2022-03-20,136.9,131.0,137.0,,
0050,S1 Trend-Long,2022-04-18,SELL,132.05,收盤 < L日低,long,-4.95,47.74999999999999,10,20,2022-04-17,138.65,131.6,137.0,131.55,137.0
0050,S1 Trend-Long,2022-05-30,BUY,128.65,收盤 > N日高,long,0.0,47.74999999999999,10,20,2022-05-29,126.0,121.2,128.55,,
0050,S1 Trend-Long,2022-06-19,SELL,120.7,收盤 < L日低,long,-7.95,39.79999999999999,10,20,2022-06-16,129.1,122.1,128.55,120.85,128.65
0050,S1 Trend-Long,2022-07-21,BUY,116.8,收盤 > N日高,long,0.0,39.79999999999999,10,20,2022-07-20,116.2,108.45,116.35,,
0050,S1 Trend-Long,2022-09-01,SELL,114.9,收盤 < L日低,long,-1.9,37.89999999999999,10,20,2022-08-31,122.0,115.2,116.35,115.15,116.8
0050,S1 Trend-Long,2022-11-08,BUY,102.75,收盤 > N日高,long,0.0,37.89999999999999,10,20,2022-11-07,100.85,96.5,101.6,,
0050,S1 Trend-Long,2022-12-20,SELL,110.6,收盤 < L日低,long,7.85,45.74999999999999,10,20,2022-12-19,116.8,112.0,101.6,110.3,102.75
0050,S1 Trend-Long,2023-01-09,BUY,116.15,收盤 > N日高,long,0.0,45.74999999999999,10,20,2023-01-08,112.25,108.4,115.8,,
0050,S1 Trend-Long,2023-04-24,SELL,118.1,收盤 < L日低,long,1.95,47.699999999999996,10,20,2023-04-23,121.65,118.4,115.8,118.15,116.15
0050,S1 Trend-Long,2023-05-17,BUY,122.0,收盤 > N日高,long,0.0,47.699999999999996,10,20,2023-05-16,119.0,115.5,120.55,,
0050,S1 Trend-Long,2023-08-14,SELL,125.05,收盤 < L日低,long,3.05,50.74999999999999,10,20,2023-08-13,130.65,126.15,120.55,124.5,122.0
0050,S1 Trend-Long,2023-09-14,BUY,127.2,收盤 > N日高,long,0.0,50.74999999999999,10,20,2023-09-13,126.8,122.9,126.95,,
0050,S1 Trend-Long,2023-09-21,SELL,122.25,收盤 < L日低,long,-4.95,45.79999999999999,10,20,2023-09-20,127.35,123.4,126.95,122.75,127.2
0050,S1 Trend-Long,2023-10-11,BUY,126.7,收盤 > N日高,long,0.0,45.79999999999999,10,20,2023-10-10,124.5,121.35,126.25,,
0050,S1 Trend-Long,2023-10-31,SELL,121.8,收盤 < L日低,long,-4.9,40.89999999999999,10,20,2023-10-30,127.0,121.35,126.25,121.15,126.7
0050,S1 Trend-Long,2023-11-06,BUY,126.7,收盤 > N日高,long,0.0,40.89999999999999,10,20,2023-11-05,125.6,121.1,126.55,,
0050,S1 Trend-Long,2024-01-16,SELL,129.8,收盤 < L日低,long,3.1,43.99999999999999,10,20,2024-01-15,135.95,131.95,126.55,131.65,126.7
0050,S1 Trend-Long,2024-01-25,BUY,135.85,收盤 > N日高,long,0.0,43.99999999999999,10,20,2024-01-24,134.4,127.3,135.65,,
0050,S1 Trend-Long,2024-04-21,SELL,150.2,收盤 < L日低,long,14.35,58.349999999999994,10,20,2024-04-18,163.35,153.0,135.65,150.9,135.85
0050,S1 Trend-Long,2024-05-08,BUY,160.95,收盤 > N日高,long,0.0,58.349999999999994,10,20,2024-05-07,160.55,149.5,160.7,,
0050,S1 Trend-Long,2024-07-22,SELL,183.5,收盤 < L日低,long,22.55,80.89999999999999,10,20,2024-07-21,202.8,180.8,160.7,180.7,160.95
0050,S1 Trend-Long,2024-08-18,BUY,183.7,收盤 > N日高,long,0.0,80.89999999999999,10,20,2024-08-15,181.85,158.4,183.4,,
0050,S2 Trend-Short,2019-05-13,SELLSHORT,79.4,收盤 < L日低,short,0.0,0.0,10,20,2019-05-12,83.8,80.9,80.15,,
0050,S2 Trend-Short,2019-06-10,BUYTOCOVER,79.4,收盤 > N日高,short,-0.0,0.0,10,20,2019-06-09,78.95,76.3,80.15,79.05,79.4
0050,S2 Trend-Short,2019-08-04,SELLSHORT,80.5,收盤 < L日低,short,0.0,0.0,10,20,2019-08-01,83.9,81.4,80.95,,
0050,S2 Trend-Short,2019-08-20,BUYTOCOVER,81.15,收盤 > N日高,short,-0.65,-0.65,10,20,2019-08-19,80.9,78.5,80.95,81.0,80.5
0050,S2 Trend-Short,2020-01-30,SELLSHORT,90.45,收盤 < L日低,short,0.0,-0.65,10,20,2020-01-29,98.85,95.05,92.15,,
0050,S2 Trend-Short,2020-04-08,BUYTOCOVER,80.05,收盤 > N日高,short,10.4,9.75,10,20,2020-04-07,78.9,67.25,92.15,79.6,90.45
0050,S2 Trend-Short,2020-09-24,SELLSHORT,100.55,收盤 < L日低,short,0.0,9.75,10,20,2020-09-23,107.0,101.15,100.45,,
0050,S2 Trend-Short,2020-10-11,BUYTOCOVER,106.9,收盤 > N日高,short,-6.35,3.4000000000000004,10,20,2020-10-07,105.0,100.05,100.45,106.2,100.55
0050,S2 Trend-Short,2021-05-11,SELLSHORT,132.7,收盤 < L日低,short,0.0,3.4000000000000004,10,20,2021-05-10,142.0,135.0,133.25,,
0050,S2 Trend-Short,2021-05-30,BUYTOCOVER,136.0,收盤 > N日高,short,-3.3,0.10000000000000053,10,20,2021-05-27,135.15,121.2,133.25,135.8,132.7
0050,S2 Trend-Short,2021-07-28,SELLSHORT,135.65,收盤 < L日低,short,0.0,0.10000000000000053,10,20,2021-07-27,141.85,136.05,134.25,,
0050,S2 Trend-Short,2021-08-04,BUYTOCOVER,139.45,收盤 > N日高,short,-3.8,-3.6999999999999993,10,20,2021-08-03,138.55,133.75,134.25,139.25,135.65
0050,S2 Trend-Short,2021-08-19,SELLSHORT,132.0,收盤 < L日低,short,0.0,-3.6999999999999993,10,20,2021-08-18,139.45,132.45,131.8,,
0050,S2 Trend-Short,2021-08-29,BUYTOCOVER,138.85,收盤 > N日高,short,-6.85,-10.549999999999999,10,20,2021-08-26,138.0,130.2,131.8,138.15,132.0
0050,S2 Trend-Short,2021-09-29,SELLSHORT,136.1,收盤 < L日低,short,0.0,-10.549999999999999,10,20,2021-09-28,142.2,136.3,136.0,,
0050,S2 Trend-Short,2021-10-19,BUYTOCOVER,137.25,收盤 > N日高,short,-1.15,-11.7,10,20,2021-10-18,136.9,130.9,136.0,136.95,136.1
0050,S2 Trend-Short,2022-01-25,SELLSHORT,140.95,收盤 < L日低,short,0.0,-11.7,10,20,2022-01-24,152.4,141.7,141.65,,
0050,S2 Trend-Short,2022-03-21,BUYTOCOVER,137.0,收盤 > N日高,short,3.95,-7.749999999999999,10,20,2022-03-20,136.9,131.0,141.65,137.0,140.95
0050,S2 Trend-Short,2022-04-18,SELLSHORT,132.05,收盤 < L日低,short,0.0,-7.749999999999999,10,20,2022-04-17,138.65,131.6,131.55,,
0050,S2 Trend-Short,2022-05-30,BUYTOCOVER,128.65,收盤 > N日高,short,3.4,-4.35,10,20,2022-05-29,126.0,121.2,131.55,128.55,132.05
0050,S2 Trend-Short,2022-06-19,SELLSHORT,120.7,收盤 < L日低,short,0.0,-4.35,10,20,2022-06-16,129.1,122.1,120.85,,
0050,S2 Trend-Short,2022-07-21,BUYTOCOVER,116.8,收盤 > N日高,short,3.9,-0.44999999999999973,10,20,2022-07-20,116.2,108.45,120.85,116.35,120.7
0050,S2 Trend-Short,2022-09-01,SELLSHORT,114.9,收盤 < L日低,short,0.0,-0.44999999999999973,10,20,2022-08-31,122.0,115.2,115.15,,
