策略,淨利潤,毛利,毛損,最大回撤(金額),最大回撤(%),總交易次數,贏家交易次數,輸家交易次數,勝率(%),平均每筆淨利潤,單筆最大獲利,單筆最大損失,Profit Factor,Expectancy,Payoff Ratio,最長連勝,最長連敗,CAGR(%),MAR,Sharpe,Sortino
S1 Trend-Long,80.9,116.1,-35.2,21.65,100.0,20,12,8,60.0,4.045,25.8,-7.95,3.2983,4.045,2.1989,5,3,,,,
S2 Trend-Short,-26.25,33.8,-60.05,37.95,324.36,20,5,14,25.0,-1.3125,12.15,-10.75,0.5629,-1.527,1.576,4,8,,,,
S3 MeanRevert-Long,10.25,49.6,-39.35,26.6,501.89,20,12,8,60.0,0.5125,9.95,-12.95,1.2605,0.5125,0.8403,7,4,,,,
S4 MeanRevert-Short,-96.9,29.25,-126.15,93.25,,20,7,13,35.0,-4.845,7.15,-26.6,0.2319,-4.845,0.4306,3,6,,,,
